Majority protein IDs,Protein names,Gene names,Peptides,Sequence coverage [%],Azaguanine_1,Raltitrexed_1,Topotecan_1,Floxuridine_1,Nutlin_1,Dasatinib_1,Gefitinib_1,Vincristine_1,Bortezomib_1,Azaguanine_2,Raltitrexed_2,Topotecan_2,Floxuridine_2,Nutlin_2,Dasatinib_2,Gefitinib_2,Vincristine_2,Bortezomib_2,Azaguanine_3,Raltitrexed_3,Topotecan_3,Floxuridine_3,Nutlin_3,Dasatinib_3,Gefitinib_3,Vincristine_3,Bortezomib_3
K7EM38,"Actin, cytoplasmic 2",ACTG1,13,99.2,1.240007445,1.130515777,2.235784236,1.500374367,1.163865281,1.061717214,0.938789274,1.431819773,1.670857967,0.132348984,0.113835026,0.16316267,0.130457791,0.179660109,0.137828379,0.099557739,0.117087472,0.132754339,1.052744828,3.103851967,1.520531483,1.011638431,1.084158814,1.095961192,1.121432833,1.113798851,8.263250958
P04792;F8WE04,Heat shock protein beta-1,HSPB1,20,93.7,1.15251349,1.122558344,1.546213391,1.184353334,1.415830836,1.089353248,1.06025035,1.535051822,1.869742793,1.0215447,1.019938609,1.367192541,1.081968595,1.246756196,1.052639907,0.993682834,1.321842495,1.991086415,1.169516449,1.186239912,1.565931831,1.246926116,1.381622896,1.132992342,1.077851873,1.544617831,1.857588675
P07737;K7EJ44,Profilin-1,PFN1,13,93.6,0.984584555,0.855177297,0.767419185,0.926818626,0.812540162,0.949551668,0.918871391,0.889291119,0.444477821,1.084838153,0.933958212,0.816017196,0.952649305,0.892251572,0.969031084,0.931908053,0.910240704,0.472430933,1.032208061,0.902771383,0.830612624,1.037253698,0.916676424,0.977104619,0.95761794,1.041025788,0.543276255
P63244;J3KPE3;D6RHH4;D6RAC2;H0YAF8;H0Y8W2;D6R9Z1;D6R9L0;D6REE5;D6RFX4;H0YAM7;D6RFZ9;D6RAU2;E9PD14,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,24,92.1,1.084763822,0.896103225,1.035336132,0.801839058,0.948645887,0.965628403,0.974647271,0.991607814,0.884085723,1.113176471,0.927097609,1.059247762,0.810717526,0.962366591,0.980314645,0.969348149,1.037575837,0.858416383,1.11839198,0.917286623,1.059383315,0.798446941,1.002605402,0.974094206,0.999308657,0.980889706,0.841063588
P05387,60S acidic ribosomal protein P2,RPLP2,7,91.3,1.18335814,1.393582477,1.453988294,1.195683225,1.097767435,1.292520329,1.174438528,1.349020368,0.953726076,1.053919204,0.881168979,1.141374451,1.098867641,1.143410472,1.039504372,1.053579501,1.81346399,0.756108452,1.079469219,0.893342094,1.110740882,0.966620419,0.831987648,1.039366472,0.790875983,0.938267765,0.67745219
P09382,Galectin-1,LGALS1,11,91.1,0.719459401,0.86463071,0.533156305,0.762813743,0.691217434,0.863763161,1.00337284,0.870055496,0.413832309,0.754064912,0.738961318,0.568877405,0.713149949,0.695971102,0.798906953,0.884867558,0.907320864,0.412881911,0.762046727,0.725151869,0.627569773,0.777011293,0.709842254,0.892954902,0.915034566,0.904289788,0.409449014
P61019;P61019-2;E9PKL7,Ras-related protein Rab-2A,RAB2A,20,90.6,1.058601166,1.002369468,0.944249369,1.00644258,0.979815606,1.049765759,1.075034236,1.080919903,0.878568958,1.089941323,1.016286439,0.951649911,1.042741984,1.031970733,1.084322858,1.072278379,1.106951231,0.962176813,0.999375592,0.95777144,0.913514141,1.082564421,0.970974976,1.056003987,1.002253958,1.114501284,0.778707753
P04075;J3KPS3,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,36,90.1,1.062082284,1.055781222,0.815627246,1.02712792,0.906908555,0.893347773,1.060567184,0.960212622,0.474073849,1.006535746,0.973000116,0.783401296,1.0113468,0.889321551,0.878521105,1.026515148,0.970727943,0.467112762,1.105652784,1.04710092,0.884449266,1.059707227,0.959727791,0.901774828,1.076286157,1.047844775,0.49078364
P60174-1;P60174;P60174-4;U3KPZ0,Triosephosphate isomerase,TPI1,22,90,1.129251799,1.085003576,0.848986293,1.091696091,1.050263078,1.09754682,1.045795354,1.057056017,0.439968748,1.111819773,1.04070928,0.789969354,1.055134955,1.049227205,1.050589832,0.980384533,1.003225109,0.420324163,1.199902335,1.106213022,0.928229484,1.135995362,1.16749841,1.103059436,1.068585316,1.24154524,0.483830607
P10599;P10599-2,Thioredoxin,TXN,9,88.6,1.114236159,0.994918746,0.921372619,1.090561225,1.144294096,1.117823847,1.050856866,1.309507187,0.498601401,1.282523948,1.112341489,0.890687115,1.083595926,1.233759074,1.153472138,1.075935808,1.164242518,0.473787086,1.191996526,1.019900628,0.909539231,1.20622762,1.204899046,1.165879518,1.069342494,1.247529642,0.511090651
P63218,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,GNG5,6,88.2,1.000360459,0.981622382,1.15515649,1.193373585,1.159068101,1.045532358,1.039336774,0.938024761,0.520535128,1.040920465,1.181516673,1.03366299,0.958733338,0.961816067,1.00341452,0.85528865,0.766436481,0.637457703,1.157553186,1.189160633,1.093167614,0.914877885,1.212945223,0.96557769,1.054920754,1.098191246,0.671229998
Q9UK76;J3KT51;Q9UK76-2;Q9UK76-3,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",HN1,11,87.7,0.926879602,1.040427509,0.390524137,0.874326899,0.702304496,1.077643711,0.959755578,0.69473851,0.436722179,0.797561318,0.659423031,0.357419232,0.736408767,0.552867835,0.749431593,0.748259603,0.727371136,0.388785298,0.804067228,0.70364985,0.312218381,0.652110188,0.470978829,1.058496764,0.647948553,0.520369882,0.281046252
P29692-3;E9PQZ1;H0YE72;E9PL71,Elongation factor 1-delta,EEF1D,25,87.5,1.92201016,1.039347641,1.057978421,1.390264392,1.119400713,0.946905612,1.0342803,1.464068893,0.792152412,1.576647434,0.920032337,0.959189616,1.225512491,1.076915755,0.905221054,1.056004297,1.395428937,0.616033893,1.640193748,0.937027833,0.969655462,1.308321559,1.011599292,1.026863683,0.992091428,1.195485107,0.800223883
P29692;P29692-4,Elongation factor 1-delta,EEF1D,27,87.2,1.239608722,1.062105053,0.926521685,1.323715747,1.04530167,1.020025049,1.013098958,1.235857916,0.679753618,1.10946306,1.018588744,1.092804417,1.301682279,1.116117471,1.055231545,1.018708744,1.298405416,0.869642342,1.164461737,0.978841927,1.016894497,1.184645777,1.060714901,0.962098831,1.026793548,1.219911528,0.772784938
Q96C01;E7EQY1,Protein FAM136A,FAM136A,13,87,0.961173971,0.813950889,0.447938499,0.870144138,0.867413139,1.116497165,1.046943592,0.767331033,0.578153099,1.288017567,1.008682521,0.423640205,0.933392417,0.984334527,1.289264862,1.198480187,0.940700619,0.708309497,1.031305133,0.809699196,0.371901531,0.995579515,0.854764719,1.225606026,1.036044489,0.824692913,0.521728318
O00299,Chloride intracellular channel protein 1,CLIC1,18,86.7,1.183753658,0.979264703,0.782714329,1.039382539,0.952217495,0.922968773,0.981306381,1.156681637,0.511345048,1.051214315,0.910678036,0.809595901,1.038462886,0.953566875,0.936900498,0.929127833,1.112960238,0.595008758,1.122626096,0.968510153,0.81613697,0.95118229,0.990154889,0.873533302,0.975651294,1.050229172,0.571560308
Q9BVJ7,Dual specificity protein phosphatase 23,DUSP23,12,86,1.216298963,1.037608378,1.16565821,1.149407727,1.131838198,1.131430859,1.119608701,1.069478374,1.185408624,1.242697528,0.945853594,1.033522471,1.040611147,1.088857556,1.080733698,1.076238502,1.00153139,0.828871586,1.031609923,0.840609837,0.932039347,1.074815794,1.004522859,1.053942563,1.016001596,0.956287736,0.915205546
P63241;I3L397;I3L504;P63241-2;Q6IS14,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,14,85.1,1.133641341,0.874756394,1.145280071,1.011689658,0.898288105,0.88323479,0.883422334,1.044011938,0.83249536,1.40530021,1.007058363,1.269016891,1.071144628,0.989154317,0.965161934,0.955979924,1.117657268,0.820695794,1.141615542,0.871121306,1.130662515,1.130493611,0.90491104,0.897912101,0.873518377,1.104531068,0.82799221
