Majority protein IDs	Protein names	Gene names	Peptides	Sequence coverage Rep_1 [%]	Azaguanine_1	Raltitrexed_1	Topotecan_1	Floxuridine_1	Nutlin_1	Dasatinib_1	Gefitinib_1	Vincrisitine_1	Bortezomib_1	Azaguanine_2	Raltitrexed_2	Topotecan_2	Floxuridine_2	Nutlin_2	Dasatinib_2	Gefitinib_2	Vincrisitine_2	Bortezomib_2	Azaguanine_3	Raltitrexed_3	Topotecan_3	Floxuridine_3	Nutlin_3	Dasatinib_3	Gefitinib_3	Vincrisitine_3	Bortezomib_3
"Q5VT66;Q5VT66-2;H7BYZ9;Q5VT66-3"	Mitochondrial amidoxime-reducing component 1	MARC1	4	10.1	0.978989953	1.105134952	0.957396116	1.006933151	0.912550453	0.926370017	0.899160617	1.031677386	0.804416628	1.005498966	0.87271078	0.84090971	0.796785158	0.460866784	0.698821841	1.134721113	1.026093375	0.443084749	0.972151158	0.861371153	1.010458256	0.931395369	0.693861219	1.063124837	0.891263805	0.879661662	0.623608016
"Q969Z3;Q969Z3-2"	Mitochondrial amidoxime reducing component 2	MARC2	6	19.7	0.945220091	1.027091687	1.029278053	0.864327632	0.923864407	0.968058893	1.037189475	0.878431203	0.73136686	1.025683638	1.128570297	1.098395458	0.913731993	0.943442165	1.103023827	1.083679182	0.936670264	0.814862557	0.997680557	1.099235975	1.173608348	0.975820818	1.026793362	1.157054477	1.174035786	0.976464139	0.867998145
Q9NX47	E3 ubiquitin-protein ligase MARCH5	MARCH5	6	29.9	0.977705322	1.150668162	1.12204539	1.091697143	1.136327873	1.003521643	0.913233607	1.013593067	1.427615504	0.969909915	0.992890741	1.061588835	0.97479487	0.983750587	0.931167825	0.915827607	0.891053211	1.133586258	1.051445894	1.176269417	1.211413196	1.281621459	1.17232253	1.275881764	1.143912082	1.309966548	1.467053072
"O60337-5;O60337;D6RHY7"	E3 ubiquitin-protein ligase MARCH6	MARCH6	4	3.2	0.793648106	0.884281947	0.984318597	0.818235358	0.833559996	0.833540816	0.900475841	0.730407018	2.446651768	0.797568683	0.830046615	0.954045837	0.876841364	0.847259827	0.786651714	0.900411206	0.733808709	2.253975603	0.912825622	0.923065259	0.985279919	0.958264942	0.943076897	0.919606442	0.9298624	0.872691867	1.648757045
"F5H6W4;Q9H992-2;Q9H992"	E3 ubiquitin-protein ligase MARCH7	MARCH7	6	18	0.781919153	0.696801112	0.959269647	0.853223312	0.785242411	0.871184146	1.036700033	0.904896304	8.701063143	0.841442699	0.836163601	0.971696311	0.845500163	0.874958792	0.898053805	1.238195406	1.025189646	9.497873723	0.821788073	0.857540234	0.974399073	0.919274881	0.883092001	0.86626171	1.02887888	0.957620769	4.380469946
"Q15019;Q15019-2;Q15019-3;B5MCX3;H7C2Y0"	Septin-2	02-sep	21	60.9	0.946514973	1.082451685	1.057272991	0.987292783	1.004127229	0.992133424	0.969263856	0.974434924	0.99226896	0.973359816	1.109216769	1.053854671	0.990842566	1.046534058	1.02092007	1.04527295	1.014692383	1.037585645	0.93365013	1.086440397	1.031485878	0.992148935	1.021265371	0.972433876	0.979849953	0.985751374	1.03044559
"B1AHR1;Q9UH03-2;Q9UH03"	Neuronal-specific septin-3	03-sep	3	9.9	1.137494516	1.502912043	1.287601633	1.124967801	1.130324909	1.144886695	1.085313646	1.448851931	1.56512262	1.077320052	1.344566588	1.03243745	0.99830162	1.110483455	1.022344216	1.111142207	1.407274405	1.420514136	1.054901032	0.939827836	1.108768702	1.092335555	1.16717198	1.036817081	0.990052825	1.244165347	1.176881764
"Q99719;A0A087WWZ5;E7EQM7;C9JM82;B4DJ62;E7EX32;G3XAH0;F8W9E5;E7EPG2;Q99719-2"	Septin-5	05-sep	4	6.5	1.531080402	1.296542907	1.255173836	1.217815001	1.114915698	1.460873425	1.310013693	1.903018746	1.877233004	0.836959016	1.281800694	1.002306311	0.984593104	0.989053173	0.707032374	0.721767955	0.832372581	0.9463359	1.078662359	1.079608501	1.102447638	0.902312897	0.973377626	0.816129445	0.813745164	0.753115302	0.942806859
"B1AMS2;Q14141-2;Q14141-4;Q14141"	Septin-6	06-sep	13	36.2	0.960058448	1.146602874	1.117407787	1.053916475	1.023284586	1.003189516	0.997517522	1.041563844	0.916488249	1.071475835	1.186399119	1.158156665	1.12525255	1.081520223	1.025954031	0.99898432	1.033636046	0.985631537	0.881285287	1.103942852	1.066172264	0.985870219	0.935034038	1.004473705	0.907399346	0.909974799	0.768854025
"Q16181;E7ES33;E7EPK1;Q16181-2;G3V1Q4"	Septin-7	07-sep	19	38.9	0.93606122	1.149123954	1.002570318	1.084674687	1.027297756	1.041132507	1.009507838	1.025495148	0.954718629	0.95502625	1.225331441	1.060184376	1.004414339	1.136158591	1.07671942	1.082254108	1.031595961	0.972873841	0.946445279	1.212873971	1.012834038	1.072549319	1.118707811	1.057333399	1.044438503	1.051689562	0.993897627
"A6NMH6;A6NFQ9;F8W8I8;Q92599-2;Q92599-4;Q92599;A0A087X142;Q92599-3"	Septin-8	08-sep	11	22.8	0.975715353	1.302975243	1.211956684	1.13303135	1.264449876	1.047637745	1.020947272	1.062771817	0.929110439	0.924810699	1.272305541	1.19736407	1.14270244	1.208939511	0.995230599	0.96033053	1.068764146	0.867061345	0.918195484	1.331307412	1.19569317	1.139346857	1.239038243	0.995405026	1.021147064	1.103791297	0.930542495
"Q9UHD8;Q9UHD8-7;Q9UHD8-2;Q9UHD8-5;Q9UHD8-3"	Septin-9	09-sep	34	59.4	0.930319528	1.060059839	0.995674788	0.879048962	1.130434397	1.020081019	0.914239712	0.93813604	1.025679445	0.961133848	1.102467052	0.985496991	0.901005877	1.186316622	1.067450378	0.960476154	0.987135334	1.027697022	0.921760839	1.062221041	0.981061717	0.912055578	1.142875047	1.051978463	0.915847047	0.973856466	1.00376197
"E7EW69;E7EX04;B5ME97;Q9P0V9;Q9P0V9-2;Q9P0V9-3"	Septin-10	10-sep	14	33.3	0.941137084	1.050058819	0.920144736	0.875727232	0.906678752	1.003659556	1.011266113	1.019154137	0.950257864	1.118457508	1.088751309	0.97765756	0.928928865	1.028360092	1.048086773	1.096143244	1.119407231	0.985278667	0.926248061	1.000322324	0.889598386	0.928595817	0.890411516	0.988041881	0.964647521	1.053256211	0.97739211
"D6RGI3;D6RER5;Q9NVA2;Q9NVA2-2;D6RDU5"	Septin-11	11-sep	17	46.8	0.996901936	1.120981497	1.072489994	1.09244167	1.077256042	1.024982013	1.064183819	1.016843072	0.981135561	1.104309275	1.245574899	1.14365293	1.099368861	1.270914234	1.114449313	1.273151455	1.127684088	1.002413096	1.007827933	1.109439862	1.081409582	1.165239982	1.112374106	1.035166467	1.039264244	1.084753415	0.898082951
"Q9NRG9;H3BU82;F8VZ44;Q9NRG9-2"	Aladin	AAAS	10	25.3	0.955073392	0.932328537	0.901980668	0.875480152	0.827950184	0.867401277	0.90415853	0.881070123	1.072144223	0.971443643	0.884880779	0.851635662	0.907620532	0.784143834	0.855169641	0.867624596	0.891809701	1.116069768	0.975389813	0.888554044	0.888582976	0.755059376	0.802030138	0.826708163	0.873091042	0.832625747	1.067672225
"Q86V21;Q86V21-2"	Acetoacetyl-CoA synthetase	AACS	17	27.2	0.96448174	1.193882047	1.171322918	1.081216819	1.047504541	1.691888578	1.498161942	1.109288964	0.884568111	1.02946946	1.169753945	1.214191438	1.019731103	0.969070873	1.617756743	1.422823258	1.053608875	0.937288902	1.001774298	1.194077303	1.214619541	0.957775888	1.014788528	1.622881641	1.626808016	1.065424811	0.983116319
"H0Y5J5;Q7RTV5"	Thioredoxin-like protein AAED1	AAED1	3	22.8	0.952511789	0.95901625	0.883580717	0.800423415	0.94373395	0.760546799	1.051893831	1.197941581	2.010492625	1.025249912	1.221575024	1.086602864	1.050134627	1.235685707	1.091567711	1.284579618	1.327981597	1.938552379	0.659531126	0.88027895	0.946930019	0.939456566	0.769200374	0.62584504	0.765171172	0.825196142	0.755191123
"Q6PD74;H0YL49;Q6PD74-2"	Alpha- and gamma-adaptin-binding protein p34	AAGAB	4	18.1	0.901305951	0.898341935	1.014171421	0.826345944	0.854643583	0.921245449	0.943633783	0.946681887	1.123984927	0.948881338	0.878048069	0.981296489	0.768728985	0.827281273	1.025914043	1.001629527	1.059249933	1.081443833	0.98904068	0.98803913	1.035919302	0.991997748	0.917911538	1.018978499	1.023281554	1.24455711	1.243845208
"A0A096LP25;A0A096LNZ0;Q6ZSR9"	Uncharacterized protein FLJ45252	AAK1	11	30.1	0.859305827	1.079536857	1.010137256	1.044460544	1.017154949	0.881545638	0.919054202	0.954257622	1.154258396	0.813824623	1.048876935	0.975282636	0.978714652	1.01656441	0.870752748	0.928648788	0.920565423	1.156536815	0.904306714	1.124742346	0.969428255	1.058786099	1.141063241	0.877169592	1.032388421	1.00926722	1.204953183
"Q2M2I8-2;Q2M2I8;E9PG46"	AP2-associated protein kinase 1	AAK1	16	24.6	0.978571313	1.076659508	1.034291899	1.06770744	0.9988384	0.928852569	0.980775923	1.055274612	1.185326729	0.938690062	1.070441033	1.007071642	1.099673175	0.981396806	0.972858504	0.982202332	1.1503552	1.213272636	0.902447055	1.116929616	0.994095908	1.011615992	0.992336153	0.913638705	0.950735282	1.054968791	1.225018747
"Q9H7C9;E9PNP3;E9PIQ4;E9PJP1;E9PLK9;K4DI89;E9PR47;Q9H7C9-3;Q9H7C9-2"	Mth938 domain-containing protein	AAMDC	5	45.1	1.084707009	1.113776951	1.124575581	1.065025378	1.091167364	1.08321191	1.117356029	1.063084147	0.970898943	1.482488826	0.941927013	1.111594073	0.985988599	0.983206655	1.054407165	1.04840153	0.969859674	0.888207142	1.537019183	0.993681026	1.19184223	0.962283444	1.048438196	0.983899236	1.102973316	0.977768689	0.816088233
"C9JG97;C9JEH3;Q13685;C9JTS3"	Angio-associated migratory cell protein	AAMP	12	32.3	1.192393312	0.935629719	0.995439111	0.73365076	0.718012981	0.877544571	0.940795073	1.001737534	2.333563566	1.06529245	0.856809646	0.958286445	0.787140014	0.73812023	0.849938792	0.877485927	0.950777851	1.879262905	1.159779457	0.918378016	1.007918315	0.744424112	0.732822932	0.878823148	0.942813191	1.033009067	2.203702008
"Q9Y312;A2A2Q9"	Protein AAR2 homolog	AAR2	7	22.1	1.105544065	0.894851278	0.922788948	0.954730973	0.816921368	0.961302394	0.893797331	1.144751184	1.267824146	1.093987261	0.897209524	0.954652733	0.952049235	0.822996155	0.939518305	0.921222361	1.129915147	1.210992707	1.172911775	0.975393085	1.001278787	0.948875748	0.838943596	0.979633803	0.908808903	1.300096476	1.485016528
"P49588;P49588-2"	Alanine--tRNA ligase, cytoplasmic	AARS	42	51.9	1.144084085	0.827589653	0.805523791	0.701085433	0.805589346	1.223303592	1.192431464	0.76912669	0.780139455	1.150688699	0.845337422	0.830361982	0.777911862	0.823171403	1.304959103	1.210884797	0.814298946	0.821882044	1.186197353	0.844885923	0.801174394	0.745672347	0.819952764	1.305346474	1.239278643	0.788133376	0.820684427
Q5JTZ9	Alanine--tRNA ligase, mitochondrial	AARS2	18	19.1	1.018113663	1.245181826	1.235046641	1.018878542	1.124892932	1.022378194	0.861595501	1.128465326	1.149721929	1.060589754	1.007121683	1.04706522	0.95861395	0.945975389	0.941676337	0.841865991	0.91939578	0.857725987	1.083153252	1.220503463	1.154474966	0.992244444	0.969094546	1.146199243	0.90592165	1.218906754	1.079265683
"Q9BTE6;C9J5N1;Q9BTE6-2;Q9BTE6-3"	Alanyl-tRNA editing protein Aarsd1	"AARSD1;PTGES3L-AARSD1"	11	35.4	1.033669159	0.9489251	1.021140635	0.991576292	0.976188518	0.950474545	0.938185387	0.999339099	1.037411966	0.916226471	0.900388016	0.958677988	1.058712967	0.908129964	0.88708247	0.888362776	0.945101168	0.943841449	0.986273881	0.963517029	1.076156928	1.004639869	0.949236385	0.961849545	0.966586044	1.028327383	1.025928777
"Q9NRN7;E9PLW6"	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	9	26.2	1.089801873	0.873634252	0.883586386	0.862418732	0.858890777	0.840837251	0.898376185	1.080010821	1.025104134	1.136085322	0.893335648	0.96505258	0.949462248	0.844271256	0.915396365	0.916302808	1.098832732	1.077448318	1.06185485	0.951790294	0.894780881	0.868984928	0.858496122	0.875020462	0.891472721	1.044274738	1.021322713
Q9NY61	Protein AATF	AATF	9	13.6	1.1160447	0.955216584	1.085381354	0.982574886	0.982203476	0.913311618	0.922230974	0.75179073	1.429590288	1.121842947	0.909115724	1.040702121	0.982448954	0.919964468	0.923312727	0.897644305	0.722069618	1.398749404	1.179086686	0.944026341	1.072087898	0.935265377	0.910140571	0.914268888	0.887125152	0.662366717	1.404842255
