Majority protein IDs,Protein names,Gene names,Peptides,Sequence coverage [%],Azaguanine_1,Raltitrexed_1,Topotecan_1,Floxuridine_1,Nutlin_1,Dasatinib_1,Gefitinib_1,Vincristine_1,Bortezomib_1,Azaguanine_2,Raltitrexed_2,Topotecan_2,Floxuridine_2,Nutlin_2,Dasatinib_2,Gefitinib_2,Vincristine_2,Bortezomib_2,Azaguanine_3,Raltitrexed_3,Topotecan_3,Floxuridine_3,Nutlin_3,Dasatinib_3,Gefitinib_3,Vincristine_3,Bortezomib_3
Q86U28;J3QSS7;Q86U28-2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",ISCA2,14,97.4,1.197665401,1.044682554,0.926532427,0.922018867,0.823609013,1.008859102,0.987492625,0.955361887,1.152195378,1.018431213,0.987836534,0.998469103,0.942510109,0.723099454,1.041405666,0.971362826,0.994811664,1.085160561,1.14415215,0.865532276,0.847010606,0.873985856,0.697803458,0.911420621,0.817258184,0.761582981,1.066846526
P08727,"Keratin, type I cytoskeletal 19",KRT19,54,97.2,1.023501424,0.935922196,1.066552491,1.062126203,0.964259668,0.921686847,1.009806357,1.125660803,0.735372617,1.001076287,0.968473061,1.02779017,1.095750528,1.004152765,1.021963232,1.039645191,1.191437204,0.729841063,1.055040879,0.90848299,1.074576934,1.080020537,0.939158583,0.916555297,0.96656719,1.08223495,0.675862047
P07737;K7EJ44;I3L3D5,Profilin-1,PFN1,15,95.7,1.149040569,1.045590803,1.233102229,1.080748275,1.102730105,1.125368087,1.035387236,1.268084304,0.821531241,0.99724561,0.93756593,1.182116547,0.980279999,0.957868539,1.205126718,1.030418557,1.146611537,0.75326668,1.095097005,1.046026336,1.173254074,1.077564995,1.014675772,1.058948416,1.019499415,1.086997315,0.803709439
P05783,"Keratin, type I cytoskeletal 18",KRT18,63,94.4,1.100630515,0.942726062,0.996472782,1.007525709,0.944185012,1.023824883,1.017721438,1.181659243,0.713816244,1.103455948,1.013733872,1.046674743,1.175801461,0.98757953,1.091151802,1.172308732,1.20018808,0.802303644,0.9691449,0.999099008,0.963812329,1.059803341,0.902835333,0.981007839,1.049642265,1.132793255,0.719936813
H0Y5C6,Filamin-A,FLNA,18,93.2,1.598398628,1.069874059,1.557601302,1.047193675,1.192988844,1.283734415,1.095411046,1.236040626,1.187571959,1.541385036,1.150104069,1.434333999,1.302125069,1.215096074,0.969272042,1.121053408,1.171219236,1.14901439,1.533688324,0.967813991,1.330906813,0.980514344,1.186056279,1.109461167,0.81592774,1.276677343,0.745586158
P04792;F8WE04;C9J3N8,Heat shock protein beta-1,HSPB1,24,93.2,1.053625955,1.001496955,1.070591679,1.089160859,1.039473832,0.972707613,1.053866531,1.192897263,1.04313727,0.989365215,0.964273883,0.99299265,1.078629613,1.019001966,1.045832155,1.031988985,1.235663489,1.134505635,1.111947671,0.964560597,1.013766492,1.114712565,1.013567682,0.971513241,1.063367223,1.118671184,1.006701762
Q06830;A0A0A0MSI0;A0A0A0MRQ5,Peroxiredoxin-1,PRDX1,23,91.5,1.059786696,1.037919496,1.300520404,1.036048992,1.026910034,1.055375988,1.041958535,1.077754656,0.797876458,1.098443587,1.027813904,1.341638284,1.085437433,1.089388431,1.232205999,1.055963554,1.108226466,0.805127165,1.014872288,1.150422014,1.342457283,1.062808616,1.243400935,1.156985689,1.007167053,1.187526618,0.873538924
P37802;X6RJP6;P37802-2;C9J5W6;Q9UI15,Transgelin-2,TAGLN2,18,90.5,1.117838419,1.030640476,0.78974084,0.979036638,0.900489469,0.909714525,1.040128617,1.049935653,0.746144444,1.066083083,1.060532077,0.80768623,1.080092927,0.867061612,1.100227287,1.167286772,0.993551047,0.842340384,0.975579959,1.149352316,0.816892526,1.017669008,0.891493782,0.960136703,1.281352396,0.999944357,0.750418492
P04075;J3KPS3;H3BQN4;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,38,90.4,1.00709264,1.015846125,1.291870744,1.008978043,0.938745572,0.976851498,1.09778146,1.212058654,0.79723292,1.025664742,1.092239606,1.302625086,1.146165824,1.020618573,1.17097795,1.170320722,1.331567377,0.859602359,0.997671359,1.016695018,1.237679697,1.04076734,0.957199272,1.029218836,1.020716568,1.118556574,0.72943702
P25786;P25786-2;F5GX11;B4DEV8;F5H112,Proteasome subunit alpha type-1,PSMA1,21,90.1,1.11283271,1.001319013,0.979945399,0.994430863,1.062824807,1.113425964,1.009840935,1.056502998,0.779218981,1.138154332,1.019662083,1.02198966,1.087979913,1.130592995,1.222743863,1.092100604,1.044200086,0.87174073,1.060205087,1.068978514,1.065557074,1.04022062,1.145695293,1.078901924,1.033176914,1.065823614,0.866725059
P60174-1;P60174;P60174-4;U3KPZ0;U3KQF3;U3KPS5,Triosephosphate isomerase,TPI1,21,89.6,0.958871565,0.961431058,0.988513018,0.946277555,0.857636596,0.892130537,0.979714685,0.933986374,0.608706575,1.022832171,0.954345731,1.0209516,0.977049053,0.909229002,1.132936239,1.015449687,0.985705406,0.644917296,1.07373093,1.044407178,1.161424795,1.020941423,0.895034306,0.972165095,0.934733612,1.028095221,0.69400532
P60709;E7EVS6;G5E9R0;C9JZR7;C9JTX5;C9JUM1,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,36,89.1,1.148260891,1.014921399,1.09173759,0.968433483,1.040042837,0.909726378,1.019446403,1.185513528,0.774327709,1.184311569,1.147665819,1.208957448,1.251354179,1.229291904,1.175558594,1.209743664,1.286984811,0.937217523,1.030092553,1.098179202,1.105495225,1.081109986,1.108410752,0.986733544,1.034176992,1.208837812,0.811561754
P63261;I3L3I0;I3L1U9;I3L4N8;I3L3R2,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,35,89.1,1.268417193,1.02983021,1.1561226,1.007982521,1.182755791,1.126106956,1.008986553,1.306409252,0.79861582,1.471114868,1.100856536,1.067002638,1.356560745,1.240864129,1.35090576,1.357284969,1.177516608,0.975127541,0.841249765,1.086046198,0.856934603,0.943078259,0.771093663,0.965354411,0.990842282,1.270027826,0.438332417
P00441,Superoxide dismutase [Cu-Zn],SOD1,12,89,1.021880658,1.054011283,1.360768781,1.01907201,0.939163985,0.994734714,1.048050053,1.159425214,0.892106663,0.948478667,0.919577859,1.178877648,0.971859667,0.904084042,1.148296086,0.975479337,1.041713661,0.796802742,1.121613894,1.119615063,1.56054118,1.06227181,0.997368745,1.072407486,1.043446829,1.289344472,0.880049064
P51149;C9J8S3;C9J592;C9J4V0;C9IZZ0;C9J4S4;C9J7D1,Ras-related protein Rab-7a,RAB7A,19,88.4,1.153654744,0.972702553,0.928346011,0.954007012,1.404630419,1.254710357,1.215210215,1.154208215,0.857487726,1.147361285,0.998391418,0.910814726,1.108543863,1.327178432,1.465178067,1.320977435,1.044608527,0.925838802,1.046756267,0.922161829,0.825773344,0.985149341,1.259276451,1.303534782,1.608190132,1.041301428,0.778807083
P63218,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,GNG5,6,88.2,1.228036275,1.221865633,1.510805185,1.443841649,1.631651994,1.828891901,1.364764124,1.465879647,0.966944877,0.947480436,1.057310094,0.826044165,0.626484793,0.776664195,0.905560658,1.082989874,0.911241945,0.603053792,1.025617465,1.065267257,1.07679116,0.955869886,1.031286056,1.057857292,1.509206036,0.814787839,0.778797519
P04406;E7EUT5;O14556,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,29,88.1,1.170253473,0.990439352,1.176574778,1.062113546,1.149926412,1.210313597,1.034965654,1.306731031,0.775049715,1.131718601,0.999382757,1.164948519,1.089666168,1.048487472,1.225491424,1.119132832,1.185841274,0.808011362,1.070478978,1.023819652,1.276693174,1.097065884,1.034754135,1.141551596,1.092528053,1.368030296,0.759461246
P29692-3;E9PL71;E9PN91,Elongation factor 1-delta,EEF1D,24,87.9,1.673458162,1.041439856,1.121515132,1.159392795,1.220245496,1.138332402,1.211616011,1.368764308,0.937926235,1.29567583,0.91728849,0.873841557,1.052289144,0.787704837,0.891778634,0.870003128,0.941474506,0.631330295,1.447181463,0.799257743,0.738793067,1.158691149,0.739147476,1.074020724,0.78696804,0.913192013,0.546680526
Q9UK76;J3KT51;Q9UK76-2;Q9UK76-3;J3KSH8;F2Z3M5,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",HN1,11,87.7,1.421191754,1.221081396,1.123778588,1.027728605,0.772444673,0.813253302,0.851557679,0.959799865,0.98559887,0.966454859,0.875575852,0.843590555,0.957220322,0.542585005,0.701135163,0.756013621,0.826441058,0.636146522,1.164051864,1.152118543,1.104277004,0.981921456,0.791035145,0.84627313,0.698535898,0.795760695,0.734263633
P29692;E9PK01;P29692-4;E9PQZ1;E9PQ49;E9PI39;E9PPR1;E9PL12;E9PMW7;E9PIZ1;E9PK06;H0YCK7;E9PK72;E9PKK3;E9PNW6;E9PJD0,Elongation factor 1-delta,EEF1D,26,87.5,1.038441827,0.931449523,0.933715936,1.081188763,0.965395973,0.998787731,0.95978765,1.034290199,0.785870297,0.83343186,0.889046407,0.923388083,0.931447597,0.874841088,0.945920288,0.950654422,0.828720487,0.723289411,1.126636448,1.008508964,0.970999931,1.143688866,0.826041627,0.952328024,0.833269904,0.99614865,0.859239771
Q9BSY4;Q9BSY4-2;F8WC14,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,CHCHD5,7,87.3,0.883464655,1.006562092,0.759686928,0.802239627,0.614229226,0.790878028,0.942904077,0.705943068,1.085498229,0.833995382,0.92754599,0.826788285,0.788085787,0.583046345,1.011087101,1.006620496,1.042457189,0.897243497,0.902207057,0.718816623,0.590962058,0.741561946,0.477022508,0.607284737,0.50074373,0.496334977,0.51883419
P30046;B5MC82;P30046-2;A6NHG4;J3KQ18;H7C342,D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein,DDT;DDTL,11,87.3,1.067131868,1.067277367,1.181202191,1.05377714,1.082731295,1.147419696,1.046590478,1.082367655,0.695819681,0.957960634,1.073393768,1.031420883,1.066449919,0.99816527,1.347967197,1.102863339,0.974693641,0.660599657,1.002690293,1.149249048,1.129846608,1.129880326,1.11210114,1.131361544,1.075760312,1.030812513,0.701651088
P61019;P61019-2;E9PKL7;H7C125;H0YD31;H0YDL5;A0A1D5RMT4,Ras-related protein Rab-2A,RAB2A,18,87.3,1.041940705,0.991513161,0.987003693,1.121740361,1.160176987,1.339939938,1.075642839,1.189350508,0.882628678,1.010627939,0.970872504,0.904001716,0.993829032,1.084889698,1.329315245,1.090180666,1.075467636,0.811336074,1.043838535,0.961102815,0.915805894,0.973582495,1.054181394,1.180649323,1.078458279,1.060456928,0.810773789
P23528;G3V1A4;E9PK25;E9PP50;E9PLJ3;E9PS23,Cofilin-1,CFL1,22,86.7,0.935628193,1.028757034,1.0272871,0.831031215,0.764597065,0.706862597,0.880763337,0.861119692,0.561935574,1.013323303,1.008159621,1.108286803,1.020044308,0.913554851,0.959504032,0.99588343,1.008546273,0.649953553,1.058208719,1.096383297,1.250057558,0.988586501,0.845870201,0.81742462,0.886094254,1.048927423,0.60611105
O00299,Chloride intracellular channel protein 1,CLIC1,18,86.7,0.999216682,1.035734906,0.940201343,0.93401408,0.755059335,0.805596565,1.017974515,0.847853408,0.708771773,1.078750193,1.058793417,1.101387606,1.073357852,0.929814442,1.116911266,1.040023001,1.096603119,0.750491533,1.116543357,1.028306922,1.08694744,1.04817389,0.929150779,0.897338308,0.941017191,0.965700029,0.678327152
P10599;P10599-2,Thioredoxin,TXN,8,86.7,1.039307089,0.983246395,0.99171319,0.963427732,1.02355775,0.961859953,1.016339395,0.92378286,0.695697807,1.156771886,0.971426207,1.006909431,1.177948564,1.164059464,1.372929751,1.191717574,1.071472773,0.818761024,1.112757755,0.927519861,0.932008608,0.966022685,0.888133546,0.95848432,0.939588661,0.828379222,0.579170433
P41227;P41227-2;C9JN83;F8W808;A8MWP7;C9JW55;Q9BSU3;H0Y8T0,N-alpha-acetyltransferase 10,NAA10,19,86.4,1.15269032,0.949764091,0.850681472,0.939440953,0.8677912,0.947265554,0.933476359,1.059701281,1.059935425,1.25252574,1.08420044,1.079053186,1.359119108,1.112128243,1.371390976,1.246875917,1.172109479,1.421890674,1.015629237,0.996613037,0.816184885,1.046675268,0.833290634,0.964577837,0.922908583,0.920847781,1.03219616
P63241;I3L397;I3L504;P63241-2;Q6IS14,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,13,85.7,1.216670959,0.975349669,1.090958454,0.994167954,0.980320894,1.040024816,0.979091986,1.127793862,0.793654742,1.110997738,0.934585712,1.045123362,1.040296031,0.907856454,1.142371272,0.962919414,1.076655458,0.808232822,1.089511877,1.041066152,1.06812502,1.075251945,0.98746068,1.090378326,1.021935502,1.161269162,0.846127635
